序号,井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B,进尺命中率
72,大页1H2-3,NS516,PDC,444.5,宝石机械,螺杆钻进,2024-11-27,1,沙溪庙组~沙溪庙组,50.0,502.0,452.0,15.0,30.13,1.15,100~180,10~70,60~16,15~16,沙溪庙组,沙溪庙组,100.0,180.0,10.0,70.0,60.0,16.0,15.0,16.0,1.0
73,大页1H2-3,DD505VXS,PDC,215.9,贝克休斯,螺杆钻进,2025-03-13,1,飞一段~吴家坪组,4942.89,6717.25,1774.36,193.5,9.17,1.83,140~160,40~80,27~34.4,24~34.4,飞一段,吴家坪组,140.0,160.0,40.0,80.0,27.0,34.4,24.0,34.4,1.0
74,大页1H2-3,DD505VXS,PDC,215.9,贝克休斯,螺杆钻进,2025-03-27,1,吴家坪组~吴家坪组,6717.25,6850.0,132.75,12.5,10.62,1.9,0~0,39~39,28.6~35.8,28.8~35.8,吴家坪组,吴家坪组,0.0,0.0,39.0,39.0,28.6,35.8,28.8,35.8,1.0
75,大页1H2-4,TS516,PDC,444.5,百施特,复合钻进,2024-08-11,1,沙溪庙组~沙溪庙组,55.0,1015.0,960.0,59.5,16.27,1.14,180~180,60~70,70~20,8~20,沙溪庙组,沙溪庙组,180.0,180.0,60.0,70.0,70.0,20.0,8.0,20.0,1.0
76,大页1H2-4,TS516,PDC,311.2,百施特,复合钻进,2024-08-21,1,沙溪庙组~须家河组,1015.0,2515.0,1500.0,149.34,10.04,1.17,150~180,60~60,60~21,16~21,沙溪庙组,须家河组,150.0,180.0,60.0,60.0,60.0,21.0,16.0,21.0,1.0
77,大页1H2-4,ES1656TEU,PDC,311.2,武汉亿斯达,螺杆钻进,2024-08-30,1,须家河组~雷口坡组,2515.0,2882.18,367.18,92.34,3.98,1.2,160~180,50~60,50~18.5,18~18.5,须家河组,雷口坡组,160.0,180.0,50.0,60.0,50.0,18.5,18.0,18.5,1.0
78,大页1H2-4,TS516,PDC,311.2,百施特,螺杆钻进,2024-09-08,1,雷口坡组~嘉四段,2882.18,3187.06,304.88,38.83,7.85,1.21,120~150,50~50,55~25,18.5~25,雷口坡组,嘉四段,120.0,150.0,50.0,50.0,55.0,25.0,18.5,25.0,1.0
79,大页1H2-4,TS516,PDC,311.2,成都百施特,螺杆钻进,2024-09-18,1,嘉四段~嘉三段,3187.06,3309.13,122.07,34.83,3.51,1.3,120~160,50~55,55~18.4,16~18.4,嘉四段,嘉三段,120.0,160.0,50.0,55.0,55.0,18.4,16.0,18.4,1.0
80,大页1H2-4,TS516,PDC,311.2,成都百施特,螺杆钻进,2024-09-24,1,嘉三段~嘉三段,3309.13,3386.67,77.54,29.16,2.66,1.37,120~141.9,50~50,50~20.8,20~20.8,嘉三段,嘉三段,120.0,141.9,50.0,50.0,50.0,20.8,20.0,20.8,1.0
81,大页1H2-4,TS516,PDC,311.2,百施特,螺杆钻进,2024-09-28,1,嘉三段~嘉二2段,3386.67,3611.85,225.18,40.55,5.55,1.4,20~120,40~50,55~25,24~25,嘉三段,嘉二2段,20.0,120.0,40.0,50.0,55.0,25.0,24.0,25.0,1.0
82,大页1H2-4,TS516,PDC,311.2,百施特,复合钻进,2024-10-11,1,嘉二2段~嘉二2段,3611.85,3671.2,59.35,9.5,6.25,1.45,0~130,20~50,10~24,3~24,嘉二2段,嘉二2段,0.0,130.0,20.0,50.0,10.0,24.0,3.0,24.0,1.0
83,大页1H2-4,TS516,PDC,311.2,百施特,螺杆钻进,2024-10-20,1,嘉二1段~飞三段,3671.2,4332.0,660.8,92.83,7.12,1.45,20~150,20~72,20~23.5,12~23.5,嘉二1段,飞三段,20.0,150.0,20.0,72.0,20.0,23.5,12.0,23.5,1.0
84,大页1H2-4,SD6532,PDC,215.9,渤海中成,顶驱钻,2025-01-01,1,飞三段~飞三段,4332.0,4347.0,15.0,2.67,5.62,1.53,120~160,60~70,28~24.3,22~24.3,飞三段,飞三段,120.0,160.0,60.0,70.0,28.0,24.3,22.0,24.3,1.0
85,大页1H2-4,SD516,PDC,660.4,中成,顶驱钻,2024-08-09,1,沙溪庙组~沙溪庙组,0.0,50.0,50.0,3.0,16.67,1.07,60~80,60~60,70~12,8~12,沙溪庙组,沙溪庙组,60.0,80.0,60.0,60.0,70.0,12.0,8.0,12.0,1.0
86,大页1H2-4,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-01-05,1,飞三段~吴家坪组,4347.0,5082.14,735.14,131.33,5.6,1.9,140~160,70~80,27~30,27~30,飞三段,吴家坪组,140.0,160.0,70.0,80.0,27.0,30.0,27.0,30.0,1.0
87,大页1H2-4,JT537GK,牙轮,444.5,宝石机械,顶驱钻,2024-08-11,1,沙溪庙组~沙溪庙组,50.0,55.0,5.0,2.0,2.5,1.07,14~140,60~60,70~80,6~80,沙溪庙组,沙溪庙组,14.0,140.0,60.0,60.0,70.0,80.0,6.0,80.0,1.0
88,大页1H2-4,DD505VXS,PDC,215.9,贝克休斯,复合钻进,2025-01-15,1,吴家坪组~吴家坪组,5082.14,6291.0,1208.86,171.0,7.07,1.9,120~140,70~80,28~30,28~30,吴家坪组,吴家坪组,120.0,140.0,70.0,80.0,28.0,30.0,28.0,30.0,1.0
89,大页1H2-4,DD505VSX,PDC,215.9,贝克休斯,复合钻进,2025-01-28,1,吴家坪组~吴家坪组,6291.0,6975.0,684.0,79.5,8.6,1.9,120~140,70~80,28~38,33~38,吴家坪组,吴家坪组,120.0,140.0,70.0,80.0,28.0,38.0,33.0,38.0,1.0
90,大页1H3-1,SD6542B,PDC,311.2,渤海中成,复合钻进,2024-12-03,1,沙二段~沙二段,509.0,1642.87,1133.87,84.0,13.5,1.33,120~180,30~60,45~20.5,8~20.5,沙二段,沙二段,120.0,180.0,30.0,60.0,45.0,20.5,8.0,20.5,1.0
91,大页1H3-1,SD6542B,PDC,311.2,渤海中成,复合钻进,2024-12-09,1,凉下段~须六段,1642.87,2306.0,663.13,58.0,11.43,1.33,180~180,45~50,55~22,20.5~22,凉下段,须六段,180.0,180.0,45.0,50.0,55.0,22.0,20.5,22.0,1.0
92,大页1H3-1,ES1656TE,PDC,311.2,武汉亿斯达,复合钻进,2024-12-13,1,须六段~雷五段,2306.0,2725.0,419.0,110.5,3.79,1.33,180~200,40~50,50.9~18.5,16~18.5,须六段,雷五段,180.0,200.0,40.0,50.0,50.9,18.5,16.0,18.5,1.0
93,大页1H3-1,SD6542B,PDC,311.2,渤海中成,复合钻进,2024-12-20,1,雷五段~嘉二3段,2725.0,3379.0,654.0,46.0,14.22,1.33,20~200,40~40,55~26,20~26,雷五段,嘉二3段,20.0,200.0,40.0,40.0,55.0,26.0,20.0,26.0,1.0
94,大页1H3-1,SD6532ZC,PDC,215.9,中成,复合钻进,2024-12-26,1,嘉二3段~飞三段,3379.0,4030.0,651.0,84.0,7.75,1.9,100~130,40~50,34~34,22~34,嘉二3段,飞三段,100.0,130.0,40.0,50.0,34.0,34.0,22.0,34.0,1.0
95,大页1H3-1,DD506VX,PDC,215.9,贝克休斯,复合钻进,2025-03-31,1,飞三段~飞三段,4030.0,4120.0,90.0,18.0,5.0,1.9,150~160,50~80,28~33,25~33,飞三段,飞三段,150.0,160.0,50.0,80.0,28.0,33.0,25.0,33.0,1.0
96,大页1H3-1,DD505VXS,PDC,215.9,贝克休斯,复合钻进,2025-04-03,1,飞三段~大隆组,4120.0,4603.0,483.0,72.5,6.66,1.9,120~170,60~80,28~35,25~35,飞三段,大隆组,120.0,170.0,60.0,80.0,28.0,35.0,25.0,35.0,1.0
97,大页1H3-1,MDI516UBPXG,PDC,215.9,史密斯,复合钻进,2025-04-09,1,大隆组~飞一段,4603.0,4737.0,134.0,73.0,1.84,1.9,130~170,60~70,30~35,35~35,大隆组,飞一段,130.0,170.0,60.0,70.0,30.0,35.0,35.0,35.0,1.0
98,大页1H3-1,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-04-14,1,吴家坪~吴家坪,4737.0,4935.0,198.0,30.0,6.6,1.9,120~140,60~80,28~35,28~35,吴家坪,吴家坪,120.0,140.0,60.0,80.0,28.0,35.0,28.0,35.0,1.0
99,大页1H3-1,535CG,牙轮,660.4,宝石机械,顶驱钻,2024-11-27,1,沙二段~沙二段,0.0,50.0,50.0,5.0,10.0,1.07,30~30,60~60,70~5,5~5,沙二段,沙二段,30.0,30.0,60.0,60.0,70.0,5.0,5.0,5.0,1.0
100,大页1H3-1,SD6647VZ,PDC,444.5,渤海中成,螺杆钻进,2024-11-29,1,沙二段~沙二段,50.0,509.0,459.0,20.0,22.95,1.07,150~150,60~60,65~12,12~12,沙二段,沙二段,150.0,150.0,60.0,60.0,65.0,12.0,12.0,12.0,1.0
101,大页1H3-1,NT516S,PDC,215.9,史密斯,螺杆钻进,2025-04-19,1,吴家坪~飞一段,4935.0,6049.0,1114.0,122.0,9.13,1.9,120~140,60~70,28~35,31~35,吴家坪,飞一段,120.0,140.0,60.0,70.0,28.0,35.0,31.0,35.0,1.0
102,大页1H3-1,NT516S,PDC,215.9,史密斯,螺杆钻进,2025-04-28,1,吴家坪~飞一段,6049.0,6680.0,631.0,74.0,8.53,1.9,120~140,70~70,30.5~36,34~36,吴家坪,飞一段,120.0,140.0,70.0,70.0,30.5,36.0,34.0,36.0,1.0
103,大页1H3-2,SD6542B,PDC,311.2,渤海中成,复合钻进,2025-01-04,1,沙溪庙组~自流井组,521.0,2252.2,1731.2,94.5,18.32,1.35,160~180,60~60,55~13,13~13,沙溪庙组,自流井组,160.0,180.0,60.0,60.0,55.0,13.0,13.0,13.0,1.0
104,大页1H3-2,SD6542B,PDC,311.2,渤海中成,复合钻进,2025-01-10,1,沙溪庙组~雷口坡组,2252.2,2697.0,444.8,78.5,5.67,1.35,160~160,60~60,65~13,13~13,沙溪庙组,雷口坡组,160.0,160.0,60.0,60.0,65.0,13.0,13.0,13.0,1.0
105,大页1H3-2,SD6542B,PDC,311.2,渤海中成,螺杆钻进,2025-01-15,1,雷口坡组~嘉二3段,2697.0,3365.0,668.0,83.0,8.05,1.37,0~180,0~60,55~18,0~18,雷口坡组,嘉二3段,0.0,180.0,0.0,60.0,55.0,18.0,0.0,18.0,1.0
106,大页1H3-2,SD6535ZC,PDC,215.9,渤海中成,复合钻进,2025-04-21,1,嘉二3段~嘉二3段,3365.0,3417.6,109.6,5.0,10.52,1.87,0~150,0~60,0~37,0~37,嘉二3段,嘉二3段,0.0,150.0,0.0,60.0,0.0,37.0,0.0,37.0,0.479927
107,大页1H3-2,SD6535ZC,PDC,215.9,渤海中成,复合钻进,2025-04-23,2,嘉二3段~嘉二1段,3417.6,3475.0,109.6,7.5,14.67,1.87,0~150,0~60,0~31,0~31,嘉二3段,嘉二1段,0.0,150.0,0.0,60.0,0.0,31.0,0.0,31.0,0.520073
a1,大页1H3-2,SD6535ZC,PDC,215.9,渤海中成,复合钻进,2025-04-23,2,嘉二3段~嘉二1段,3365.0,3475.0,109.6,12.5,12.678303,1.87,0~150,0~60,0~31,0~31,嘉二3段,嘉二1段,0.0,150.0,0.0,60.0,0.0,33.879562,0.0,33.879562,1.0
108,大页1H3-2,SD6532,PDC,215.9,渤海中成,复合钻进,2025-04-23,1,嘉二1段~飞三段,3475.0,4069.0,594.0,55.5,10.7,1.87,120~150,60~60,32~34,32~34,嘉二1段,飞三段,120.0,150.0,60.0,60.0,32.0,34.0,32.0,34.0,1.0
109,大页1H3-2,NS519D,PDC,660.4,宝石机械,顶驱钻,2024-11-23,1,沙溪庙组~沙溪庙组,0.0,50.0,50.0,6.0,8.33,1.07,30~30,60~60,60~3,3~3,沙溪庙组,沙溪庙组,30.0,30.0,60.0,60.0,60.0,3.0,3.0,3.0,1.0
110,大页1H3-2,NS519D,PDC,444.5,宝石机械,螺杆钻进,2024-11-24,1,沙溪庙组~沙溪庙组,50.0,518.0,468.0,20.0,23.4,1.07,160~160,60~60,70~12,12~12,沙溪庙组,沙溪庙组,160.0,160.0,60.0,60.0,70.0,12.0,12.0,12.0,1.0
111,大页1H3-2,SD6542B,PDC,311.2,渤海中成,顶驱钻,2025-01-04,1,沙溪庙~沙溪庙组,518.0,521.0,3.0,1.0,6.0,1.07,140~140,70~70,50~3,3~3,沙溪庙,沙溪庙组,140.0,140.0,70.0,70.0,50.0,3.0,3.0,3.0,1.0
112,大页1H3-2,NXT516,PDC,215.9,史密斯,复合钻进,2025-04-29,1,飞三段~吴家坪组,4069.0,5688.0,1619.0,269.0,6.02,1.95,0~130,60~80,29~33,30~33,飞三段,吴家坪组,0.0,130.0,60.0,80.0,29.0,33.0,30.0,33.0,1.0
113,大页1H3-2,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-05-18,2,吴家坪组~吴家坪组,5688.0,6640.0,952.0,125.0,7.62,1.95,0~160,0~60,0~35,0~35,吴家坪组,吴家坪组,0.0,160.0,0.0,60.0,0.0,35.0,0.0,35.0,1.0
114,大页1H3-3,ES1655EL,PDC,311.2,亿斯达,螺杆钻进,2024-12-04,1,沙溪庙组~沙溪庙组,508.0,1507.35,999.35,67.5,14.81,1.07,150~160,50~60,60~13,12~13,沙溪庙组,沙溪庙组,150.0,160.0,50.0,60.0,60.0,13.0,12.0,13.0,1.0
115,大页1H3-3,ES1655EL,PDC,311.2,亿斯达,螺杆钻进,2024-12-09,1,沙溪庙组~雷口坡组,1507.35,2709.0,1201.65,165.0,7.28,1.33,160~180,55~60,54.8~15.32,13~15.32,沙溪庙组,雷口坡组,160.0,180.0,55.0,60.0,54.8,15.32,13.0,15.32,1.0
116,大页1H3-3,HS5164BS,PDC,311.2,惠灵丰,螺杆钻进,2024-12-18,1,雷口坡组~嘉二3段,2709.0,3341.6,632.6,88.0,7.19,1.35,160~180,40~50,50~19,18~19,雷口坡组,嘉二3段,160.0,180.0,40.0,50.0,50.0,19.0,18.0,19.0,1.0
117,大页1H3-3,HS5164BS,PDC,311.2,惠灵丰,复合钻进,2024-12-26,1,嘉二3段~嘉二3段,3341.6,3374.0,32.4,13.0,2.49,1.37,100~120,60~80,50~11,10~11,嘉二3段,嘉二3段,100.0,120.0,60.0,80.0,50.0,11.0,10.0,11.0,1.0
118,大页1H3-3,SD6532H,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,1,嘉二3段~飞仙关组,3374.0,4150.0,776.0,47.0,16.51,1.82,140~150,40~50,32~30,28~30,嘉二3段,飞仙关组,140.0,150.0,40.0,50.0,32.0,30.0,28.0,30.0,1.0
119,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-06,1,飞仙关组~飞仙关组,4150.0,4204.5,555.0,6.0,9.08,1.82,140~150,60~70,32~27,25~27,飞仙关组,飞仙关组,140.0,150.0,60.0,70.0,32.0,27.0,25.0,27.0,0.098198
120,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-06,2,飞仙关组~吴家坪组,4204.5,4705.0,555.0,107.0,4.68,1.9,140~150,50~60,30~26,25~26,飞仙关组,吴家坪组,140.0,150.0,50.0,60.0,30.0,26.0,25.0,26.0,0.901802
a2,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-06,2,飞仙关组~吴家坪组,4150.0,4705.0,555.0,113.0,5.112072,1.892144,140~150,50~60,30~26,25~26,飞仙关组,吴家坪组,140.0,150.0,50.981982,60.981982,30.196396,26.098198,25.0,26.098198,1.0
121,大页1H3-3,SKG124,牙轮,660.4,川石,顶驱钻,2024-11-27,1,沙溪庙组~沙溪庙组,0.0,50.0,50.0,5.0,8.33,1.07,50~50,60~60,70~3,3~3,沙溪庙组,沙溪庙组,50.0,50.0,60.0,60.0,70.0,3.0,3.0,3.0,1.0
122,大页1H3-3,NS519D,PDC,444.5,宝石机械,螺杆钻进,2024-11-28,1,沙溪庙组~沙溪庙组,50.0,508.0,458.0,18.0,25.44,1.07,160~160,60~60,70~12,12~12,沙溪庙组,沙溪庙组,160.0,160.0,60.0,60.0,70.0,12.0,12.0,12.0,1.0
123,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-16,1,吴家坪组~吴家坪组,4705.0,5753.0,1048.0,134.0,7.82,1.85,120~150,60~70,28~36,34~36,吴家坪组,吴家坪组,120.0,150.0,60.0,70.0,28.0,36.0,34.0,36.0,1.0
124,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-28,1,吴家坪组~吴家坪组,5753.0,6124.5,371.5,87.0,4.27,1.9,120~140,50~60,32~38,36~38,吴家坪组,吴家坪组,120.0,140.0,50.0,60.0,32.0,38.0,36.0,38.0,1.0
125,大页1H3-3,DD506VX,PDC,215.9,贝克休斯,螺杆钻进,2025-03-08,1,吴家坪组~吴家坪组,6124.5,6152.0,27.5,41.5,0.66,1.95,130~150,60~60,30~35,30~35,吴家坪组,吴家坪组,130.0,150.0,60.0,60.0,30.0,35.0,30.0,35.0,1.0
126,大页1H3-3,Z516,PDC,215.9,史密斯,螺杆钻进,2025-03-14,1,吴家坪组~吴家坪组,6152.0,6293.0,141.0,95.0,1.48,1.95,0~150,0~60,0~35,0~35,吴家坪组,吴家坪组,0.0,150.0,0.0,60.0,0.0,35.0,0.0,35.0,1.0
127,大页1H3-3,Z516,PDC,215.9,史密斯,螺杆钻进,2025-03-21,1,吴家坪组~吴家坪组,6293.0,6515.0,222.0,98.0,2.27,1.97,140~150,50~60,28~35,32~35,吴家坪组,吴家坪组,140.0,150.0,50.0,60.0,28.0,35.0,32.0,35.0,1.0
128,大页1H3-3,TK56,PDC,215.9,国民油井,螺杆钻进,2025-03-29,1,吴家坪组~吴家坪组,6515.0,6970.0,455.0,113.0,4.03,1.97,140~150,60~60,28~35,32~35,吴家坪组,吴家坪组,140.0,150.0,60.0,60.0,28.0,35.0,32.0,35.0,1.0
129,大页1H3-4,KSD1652DFRT,PDC,311.2,江钻,复合钻进,2025-01-06,1,沙二段~沙二段,523.0,1520.0,997.0,63.0,15.83,1.32,180~200,60~70,60~20,18~20,沙二段,沙二段,180.0,200.0,60.0,70.0,60.0,20.0,18.0,20.0,1.0
130,大页1H3-4,KSD1652DFRT,PDC,311.2,江钻,复合钻进,2025-01-10,1,沙二段~凉上段,1520.0,1794.0,274.0,26.0,10.54,1.34,100~200,60~70,60~23,16~23,沙二段,凉上段,100.0,200.0,60.0,70.0,60.0,23.0,16.0,23.0,1.0
131,大页1H3-4,HS5164BS,PDC,311.2,惠灵丰,螺杆钻进,2025-01-13,1,凉上段~须四段,1794.0,2422.0,628.0,90.0,6.98,1.33,180~200,50~60,50~20,16~20,凉上段,须四段,180.0,200.0,50.0,60.0,50.0,20.0,16.0,20.0,1.0
132,大页1H3-4,SD6542B,PDC,311.2,渤海中成,螺杆钻进,2025-01-18,1,须四段~雷一1段,2422.0,2733.0,311.0,57.0,5.46,1.33,180~180,65~65,50~19,18~19,须四段,雷一1段,180.0,180.0,65.0,65.0,50.0,19.0,18.0,19.0,1.0
133,大页1H3-4,SD6542B,PDC,311.2,渤海中成,螺杆钻进,2025-01-21,1,雷五段~嘉二3段,2733.0,3413.0,680.0,40.0,17.0,1.33,200~220,0~70,14.3~28,2~28,雷五段,嘉二3段,200.0,220.0,0.0,70.0,14.3,28.0,2.0,28.0,1.0
134,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,1,嘉二3段~嘉一段,3413.0,3614.0,717.0,10.0,20.1,1.7,120~180,65~65,32~31.5,28~31.5,嘉二3段,嘉一段,120.0,180.0,65.0,65.0,32.0,31.5,28.0,31.5,0.280335
135,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,2,嘉二3段~飞三段,3614.0,4130.0,717.0,24.0,21.5,1.8,160~180,45~70,34~35,27~35,嘉二3段,飞三段,160.0,180.0,45.0,70.0,34.0,35.0,27.0,35.0,0.719665
a3,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,2,嘉二3段~飞三段,3413.0,4130.0,717.0,34.0,21.107531,1.771967,160~180,45~70,34~35,27~35,嘉二3段,飞三段,148.786611,180.0,50.606695,68.598326,33.439331,34.018828,27.280335,34.018828,1.0
136,大页1H3-4,Z616S,PDC,215.9,史密斯,复合钻进,2025-02-07,1,飞三段~大隆组,4130.0,4601.46,471.46,62.0,7.6,1.97,0~150,0~70,0~32,0~32,飞三段,大隆组,0.0,150.0,0.0,70.0,0.0,32.0,0.0,32.0,1.0
137,大页1H3-4,535CG,牙轮,660.4,宝石机械,顶驱钻,2024-12-01,1,沙二段~沙二段,0.0,50.0,50.0,2.0,25.0,1.07,30~30,30~60,45~3,3~3,沙二段,沙二段,30.0,30.0,30.0,60.0,45.0,3.0,3.0,3.0,1.0
138,大页1H3-4,KS1652FGRTY,PDC,444.5,江钻,复合钻进,2025-01-02,1,沙二段~沙二段,50.0,523.0,473.0,16.0,29.56,1.07,30~30,30~30,45~3,3~3,沙二段,沙二段,30.0,30.0,30.0,30.0,45.0,3.0,3.0,3.0,1.0
139,大页1H3-4,MDis516UBPXG,PDC,215.9,史密斯,复合钻进,2025-02-13,1,吴家坪~吴家坪,4601.46,5388.0,786.54,136.0,5.78,1.97,120~170,50~80,30~36,33~36,吴家坪,吴家坪,120.0,170.0,50.0,80.0,30.0,36.0,33.0,36.0,1.0
140,大页1H3-4,NT516S,PDC,215.9,史密斯,复合钻进,2025-02-22,1,吴家坪~吴家坪,5388.0,5953.0,565.0,84.0,6.73,1.99,0~54.6,0~19,0~33.4,0~33.4,吴家坪,吴家坪,0.0,54.6,0.0,19.0,0.0,33.4,0.0,33.4,1.0
141,大页1H3-4,NTZ516,PDC,215.9,史密斯,复合钻进,2025-03-03,1,吴家坪~吴家坪,5953.0,6660.0,707.0,104.5,6.77,1.89,80~150,50~70,29~38,36~38,吴家坪,吴家坪,80.0,150.0,50.0,70.0,29.0,38.0,36.0,38.0,1.0
